brand,level,category_l1,category_l2,category_l3,current_amount,prev_amount,diff,yoy,insight
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","복리후생비_MRO",514244,1210508,-696264,-58,"MLB KIDS 공통 MRO 면세상품 신규 도입"
"MLB KIDS","L3","인건비","인건비","복리후생비_의료/건강",2399114,3536273,-1137159,-32,"전년 산재보험료 환급 발생"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","복리후생비_근속지원",900000,0,900000,0,"33주년 장기근속 포상으로 비용 증가"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","복리후생비_부서",622086,718795,-96709,-13,"스타필드 일산점 인증서 발급 신규 비용"
"MLB KIDS","L3","인건비","인건비","복리후생비_의료/건강",1591368,-14447204,16038572,-111,"전년 산재보험료 환급 발생"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","복리후생비_기타",1394500,0,1394500,0,"임직원 위탁 보육료 신규 지원 시작"
"MLB KIDS","L3","인건비","인건비","복리후생비_의료/건강",12131250,12303730,-172480,-1,"전년 산재보험료 환급 발생"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","복리후생비_기타",-1825200,6026250,-7851450,-130,"MLB KIDS 카테고리운영팀 비용 감소"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","복리후생비_식대",6150800,2113810,4036990,191,"임직원 식대 정산 도입으로 비용 증가"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","복리후생비_기타",1876300,1891072,-14772,-1,"TD팀 산전검사 지원 신규 추가"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","복리후생비_식대",1720789,1279944,440845,34,"MK기획팀 신규입사자 환영회식비 증가"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","복리후생비_식대",1089507,1356010,-266503,-20,"MK CO팀 회의비 증가로 비용 증가"
"MLB KIDS","L3","샘플대(제작/구입)","샘플대(제작/구입)","샘플구입대",221421,1378498,-1157077,-84,"MLBKIDS 디자인팀 샘플구입 중단"
"MLB KIDS","L3","인건비","인건비","세금과공과_국민연금",12111740,12620650,-508910,-4,"영업1팀 해체, 카테고리운영팀 신설"
"MLB KIDS","L3","기타영업비","기타비용","소모품비_MRO(사무용품)",461838,712272,-250434,-35,"MLB KIDS 사무용품 통합 구매로 비용 감소"
"MLB KIDS","L3","기타영업비","기타비용","소모품비_MRO(전산소모품)",322201,269673,52528,19,"전산용품 구입비_MLB KIDS 신규 도입"
"MLB KIDS","L3","기타영업비","기타비용","소모품비_OPP",2044000,1778000,266000,15,"MK OPP 구입대 비용 0.2백만 증가"
"MLB KIDS","L3","VMD/ 매장보수대","VMD/ 매장보수대","소모품비_VMD소모품",13255380,14470196,-1214816,-8,"쿠퍼스 팝업 연출로 비용 증가"
"MLB KIDS","L3","기타영업비","기타비용","소모품비_기타",451288,0,451288,0,"MK 소싱 TD팀 신규 소모품비 발생"
"MLB KIDS","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_마네킨사용외",15600,15600,0,0,"전시회(MLB KIDS 페어) 참가로 비용 증가"
"MLB KIDS","L3","기타영업비","기타비용","소모품비_기타",791800,1620300,-828500,-51,"품평집기 구매로 소모품비 감소"
"MLB KIDS","L3","기타영업비","기타비용","소모품비_사무용품",140300,89400,50900,57,"소싱팀 품평용 집기 구매로 비용 증가"
"MLB KIDS","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_사은품사용",14863750,17038300,-2174550,-13,"MLB KIDS X 뉴진스 캠페인 종료로 비용 감소"
"MLB KIDS","L3","샘플대(제작/구입)","샘플대(제작/구입)","소모품비_샘플대",49556080,25714614,23841466,93,"26SS 품평샘플비 증가로 비용 급증"
"MLB KIDS","L3","샘플대(제작/구입)","샘플대(제작/구입)","소모품비_샘플대",135349,0,135349,0,"신규 샘플 제작(MLB KIDS) 비용 발생"
"MLB KIDS","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_쇼핑백사용",67429,1105700,-1038271,-94,"MLB KIDS 매장 리뉴얼 완료로 쇼핑백 비용 감소"
"MLB KIDS","L3","기타영업비","기타비용","소모품비_전산소모품",4158518,0,4158518,0,"MLB KIDS 어도비 프로그램 구매 증가"
"MLB KIDS","L3","기타영업비","수선비","수선비_기타",2215000,4725000,-2510000,-53,"대리점 수선비 마감으로 비용 감소"
"MLB KIDS","L3","기타영업비","여비교통비","여비교통비_국내출장비",286443,1573156,-1286713,-82,"라운딩 출장 감소, 스타하남 팝업 집중"
"MLB KIDS","L3","기타영업비","여비교통비","여비교통비_시내교통비",712500,1943700,-1231200,-63,"MLB KIDS 팀 야근교통비 감소"
"MLB KIDS","L3","인건비","인건비","급료와 임금",100110663,395301874,-295191211,-75,"영업1팀 해체 및 카테고리운영팀 신설"
"MLB KIDS","L3","지급수수료","지급수수료","지급수수료_IT사용료",2854967,3242431,-387464,-12,"크레아, 젠스파크 구독료 신규 발생"
"MLB KIDS","L3","지급수수료","지급수수료","지급수수료_IT유지보수비",472500,200000,272500,136,"업무노트북 수리비 발생으로 비용 증가"
"MLB KIDS","L3","지급수수료","지급수수료","지급수수료_기타",17366644,22609047,-5242403,-23,"O2O 수수료 인식으로 비용 감소"
"MLB KIDS","L3","지급수수료","지급수수료","지급수수료_리스료(차량제외)",657422,507000,150422,30,"MLB KIDS 공용 복합기 렌탈료 증가"
"MLB KIDS","L3","VMD/ 매장보수대","VMD/ 매장보수대","지급수수료_매장보수대",8578000,10239500,-1661500,-16,"신세계 마산 작업 종료, 롯데노원 오픈"
"MLB KIDS","L3","지급수수료","지급수수료_기타","지급수수료_물류운송비",1123010,83950,1039060,1238,"MK 소재팀 국제특송 비용 증가"
"MLB KIDS","L3","지급수수료","지급수수료","지급수수료_보안",493900,581900,-88000,-15,"MLB KIDS 타임동탄 보안비 지출 중단"
"MLB KIDS","L3","지급수수료","지급수수료","지급수수료_기타",43430,0,43430,0,"MK 슈즈 택교체 비용 신규 발생"
"MLB KIDS","L3","지급수수료","지급수수료","지급수수료_인사채용",11000000,0,11000000,0,"박금진 인사채용 수수료 신규 발생"
"MLB KIDS","L3","지급수수료","지급수수료","지급수수료_기타",13668464,8807800,4860664,55,"롯데온 라이브 캠페인 신규 진행으로 비용 증가"
"MLB KIDS","L3","지급수수료","지급수수료","지급수수료_퀵서비스",1421000,2153000,-732000,-34,"MLB KIDS 퀵서비스 사용료 절감"
"MLB KIDS","L3","자가임차료(사옥)","자가임차료(사옥)","자가임차료",111207000,61697000,49510000,80,"자가임차료 인상으로 비용 증가"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","차량유지비",3750000,3900000,-150000,-4,"슈즈팀 신설로 차량유지비 증가"
"MLB KIDS","L3","기타영업비","기타비용","통신비_기타",35000,35000,0,0,"9월 사용분 제거로 명세 간소화"
"MLB KIDS","L3","기타영업비","기타비용","통신비_전화사용료",215065,211344,3721,2,"스타필드킨텍스 매장 추가로 비용 증가"
"MLB KIDS","L3","기타영업비","복리비/차량/핸드폰","통신비_휴대폰지원",2120000,2120000,0,0,"카테고리운영팀 신설로 통신비 증가"
"MLB KIDS","L3","인건비","인건비","퇴직급여",38962094,39265483,-303389,-1,"임원 퇴직급여 증가로 비용 변동"
